Date	Start Time	End Time	Transportation modes
2008/3/1	11:07:00	11:40:00	walk
2008/3/1	11:44:00	12:07:00	bus
2008/3/1	12:07:00	13:30:00	walk
2008/3/1	13:30:00	13:55:00	car
2008/3/1	13:55:00	14:16:00	walk
2008/3/2	15:29:00	15:31:00	walk
2008/3/2	15:31:00	15:55:00	bus
2008/3/11	1:10:00	1:28:00	bike
2008/3/11	9:58:00	10:18:00	bike
2008/3/12	0:09:00	0:23:00	bike
2008/3/12	9:46:10	9:49:21	bike
2008/3/12	9:58:21	10:30:00	bike
2008/3/14	0:03:00	0:17:00	bike
2008/3/14	15:06:00	15:17:56	bike
2008/3/14	17:03:00	17:31:30	bike
2008/3/14	17:40:00	17:59:00	walk
2008/3/14	18:34:00	18:49:00	walk
2008/3/14	21:41:00	22:01:00	walk
2008/3/14	22:02:00	22:21:00	train
2008/3/15	2:21:00	2:38:00	bike
2008/3/15	13:23:00	13:53:00	bike
2008/3/15	16:00:00	16:11:00	bus
2008/3/15	16:44:00	16:48:00	walk
2008/3/15	21:12:00	21:29:00	walk
2008/3/15	21:52:00	22:03:00	bike
2008/3/16	9:07:00	9:25:00	bike
2008/3/17	20:36:00	20:52:00	walk
2008/3/17	22:22:00	22:39:00	walk
2008/3/17	22:39:00	23:34:00	train
2008/3/17	23:34:00	23:37:00	walk
2008/3/20	0:41:31	1:01:06	bike
2008/3/20	9:51:40	10:05:19	bike
2008/3/20	10:09:19	10:27:01	bike
2008/3/20	10:27:06	10:27:12	walk
2008/3/20	23:11:09	23:25:40	bike
2008/3/21	9:45:57	10:14:26	bike
2008/3/22	2:52:41	3:08:59	bike
2008/3/22	13:13:33	13:27:32	bike
2008/3/23	0:22:40	0:39:19	bike
2008/3/23	9:34:11	10:16:25	bike
2008/3/23	20:37:41	21:03:35	bus
2008/3/23	21:03:36	21:09:21	walk
2008/3/24	2:43:31	2:58:47	walk
2008/3/24	9:35:53	10:02:35	bike
2008/3/24	9:44:12	10:03:12	bike
2008/3/24	17:40:10	17:59:38	bike
2008/3/25	9:35:52	10:02:35	bike
2008/3/28	0:09:59	0:24:41	bike
2008/3/28	9:52:16	10:14:35	bike
2008/3/28	12:08:33	12:20:20	car
2008/3/28	13:19:31	13:24:52	walk
2008/3/28	13:28:52	13:50:45	car
2008/3/28	17:53:40	20:21:23	car
2008/3/28	20:54:45	21:46:26	car
2008/3/31	1:58:13	2:14:23	bike
2008/3/31	10:29:39	10:46:04	bike
2008/4/1	3:25:46	3:39:17	bike
2008/4/1	12:38:03	12:48:53	bike
2008/4/2	0:16:32	0:35:18	bike
2008/4/2	10:44:26	10:56:52	bike
2008/4/2	11:44:06	12:07:52	bike
2008/4/2	17:42:47	17:58:17	walk
2008/4/2	17:58:20	18:28:21	bus
2008/4/2	18:28:26	18:50:09	walk
2008/4/2	20:45:07	21:35:58	walk
2008/4/2	21:35:58	22:00:41	train
2008/4/4	0:27:00	0:43:00	bike
2008/4/4	8:59:00	9:52:00	bike
2008/4/4	9:52:55	10:16:37	walk
2008/4/4	11:21:52	11:35:07	walk
2008/4/4	11:35:09	12:40:00	bike
2008/4/4	13:46:00	13:53:00	bike
2008/4/4	16:00:00	16:20:00	bike
2008/4/5	11:30:00	11:47:00	taxi
2008/4/5	11:47:22	11:48:28	walk
2008/4/5	12:45:00	12:51:50	walk
2008/4/5	13:04:29	13:23:32	walk
2008/4/5	13:51:00	13:04:00	bus
2008/4/5	18:39:00	18:58:11	walk
2008/4/5	18:58:12	11:05:00	bus
2008/4/5	19:05:00	19:41:00	walk
2008/4/5	20:33:00	20:55:00	walk
2008/4/5	22:26:00	23:09:00	walk
2008/4/5	23:09:00	23:14:00	taxi
2008/4/5	23:14:01	23:21:00	walk
2008/4/6	20:16:00	20:27:17	walk
2008/4/6	20:27:18	20:50:08	bus
2008/4/6	20:50:09	20:56:27	walk
2008/4/7	0:30:29	0:46:48	bike
2008/4/7	12:27:15	13:34:40	bike
2008/4/7	14:24:45	14:36:56	bike
2008/4/7	15:15:15	15:17:04	bike
2008/4/8	1:25:48	1:39:33	bike
2008/4/8	10:14:10	10:41:11	bike
2008/4/9	1:27:06	1:43:13	bike
2008/4/9	10:27:48	10:44:06	bike
2008/4/9	17:52:45	17:57:40	walk
2008/4/9	17:57:45	18:47:33	bus
2008/4/9	18:51:36	18:57:03	walk
2008/4/9	22:19:11	22:36:33	walk
2008/4/9	22:36:34	22:40:10	train
2008/4/10	0:42:48	0:58:32	bike
2008/4/10	10:14:18	10:31:41	bike
2008/4/11	9:39:35	10:12:10	bike
2008/4/11	20:38:40	20:47:12	bike
2008/4/12	1:09:24	1:16:12	bike
2008/4/12	3:36:40	3:46:32	bike
2008/4/12	12:19:31	12:32:41	bike
2008/4/12	13:38:51	13:59:44	bike
2008/4/13	10:42:52	11:03:09	bike
2008/4/13	11:38:12	11:41:46	bike
2008/4/13	14:13:46	14:15:07	bike
2008/4/13	14:23:20	14:31:06	bike
2008/4/14	3:56:47	4:04:01	bike
2008/4/14	11:24:05	12:02:43	bike
2008/4/14	16:39:11	16:43:12	walk
2008/4/14	16:43:14	17:14:19	bus
2008/4/14	17:14:20	17:24:22	walk
2008/4/14	20:51:15	20:55:18	walk
2008/4/14	20:55:20	21:21:31	bus
2008/4/14	21:21:32	21:26:55	walk
2008/4/15	0:49:04	1:01:48	bike
2008/4/15	11:04:16	11:17:11	bike
2008/4/16	0:56:07	1:11:43	bike
2008/4/16	11:14:45	11:31:09	bike
2008/4/16	22:38:39	22:47:50	bike
2008/4/17	9:20:20	9:38:54	bike
2008/4/17	17:45:45	18:04:21	bike
2008/4/18	21:05:40	21:21:26	bike
2008/4/19	1:40:07	1:54:18	bike
2008/4/19	10:30:02	10:38:03	walk
2008/4/22	0:18:00	0:35:47	bike
2008/4/22	9:47:39	10:01:36	bike
2008/4/22	19:11:54	19:22:10	walk
2008/4/22	19:22:12	19:53:10	bus
2008/4/22	22:28:00	22:40:00	taxi
2008/4/23	9:37:36	10:04:00	bike
2008/4/23	9:52:35	10:05:00	bike
2008/4/23	22:59:30	23:16:45	bike
2008/4/26	1:19:05	1:33:36	bike
2008/4/26	12:37:25	13:07:07	bike
2008/4/26	13:07:09	13:23:50	walk
2008/4/26	13:23:56	13:42:33	bus
2008/4/26	13:42:53	14:09:00	walk
2008/4/26	18:40:53	18:53:15	walk
2008/4/26	18:53:17	18:56:55	bus
2008/4/26	18:56:57	19:02:43	walk
2008/4/26	19:02:44	19:14:13	bus
2008/4/26	19:14:13	19:25:13	walk
2008/4/26	19:32:13	20:02:00	walk
2008/4/26	21:24:31	21:34:10	walk
2008/4/26	21:34:12	22:09:19	bus
2008/4/27	14:03:48	14:26:25	walk
2008/4/27	14:26:27	14:40:32	bus
2008/4/27	14:40:34	14:52:59	walk
2008/4/27	15:46:46	16:28:21	walk
2008/4/27	20:27:34	20:36:42	walk
2008/4/27	20:37:04	21:08:57	bus
2008/4/27	21:08:59	21:16:27	walk
2008/4/28	0:25:49	0:27:33	walk
2008/4/28	0:27:53	0:44:59	bike
2008/4/28	9:10:29	9:37:03	bike
2008/4/28	9:37:21	10:17:03	walk
2008/4/29	2:33:04	2:33:37	walk
2008/4/29	2:33:39	2:54:15	bike
2008/4/29	2:54:27	3:02:27	walk
2008/4/29	8:25:35	9:12:10	bike
2008/4/29	12:12:23	12:50:02	walk
2008/4/29	12:50:54	13:08:53	bike
2008/4/29	14:40:54	14:59:41	bike
2008/4/29	22:32:23	22:34:27	walk
2008/4/29	22:34:56	23:24:29	bike
2008/4/30	9:38:34	9:59:28	bike
2008/4/30	10:49:58	10:58:22	bike
2008/4/30	10:58:36	10:59:34	walk
2008/4/30	17:54:01	18:28:22	bike
2008/4/30	18:03:53	17:14:53	bike
2008/4/30	23:30:11	23:53:10	bike
2008/4/30	23:54:38	23:55:12	walk
2008/5/1	7:55:34	8:14:21	bike
2008/5/1	8:18:07	8:33:25	train
2008/5/1	8:33:28	8:56:00	walk
2008/5/1	8:57:00	15:15:55	train
2008/5/1	15:15:55	16:05:45	bus
2008/5/1	16:08:55	16:16:27	walk
2008/5/1	17:12:17	17:24:51	walk
2008/5/2	8:10:29	8:24:04	walk
2008/5/2	8:37:18	8:44:06	walk
2008/5/2	8:44:10	9:22:26	bus
2008/5/2	10:01:19	12:47:00	train
2008/5/2	12:49:35	13:05:07	walk
2008/5/2	13:05:10	13:31:58	bus
2008/5/2	13:32:00	14:29:01	walk
2008/5/2	14:29:10	14:42:26	bus
2008/5/2	14:42:28	16:17:36	walk
2008/5/2	21:06:39	21:19:23	bus
2008/5/3	6:17:17	6:30:59	bus
2008/5/3	6:57:39	13:52:39	train
2008/5/3	13:52:40	14:22:24	walk
2008/5/3	14:22:26	15:10:15	train
2008/5/3	15:10:18	15:21:45	walk
2008/5/3	16:11:34	16:46:14	taxi
2008/5/3	16:46:14	16:46:54	walk
2008/5/4	0:01:04	0:17:30	bike
2008/5/4	0:17:38	0:19:28	walk
2008/5/4	12:41:30	13:08:40	bike
2008/5/4	18:42:23	18:50:22	bike
2008/5/4	18:51:16	19:01:48	walk
2008/5/4	19:02:42	19:27:22	bus
2008/5/4	19:27:24	21:42:00	walk
2008/5/4	21:42:04	22:05:30	bus
2008/5/4	22:06:24	22:10:54	walk
2008/5/5	0:33:41	0:47:41	bike
2008/5/5	10:16:34	10:33:40	bike
2008/5/5	10:33:42	10:36:04	walk
2008/5/5	12:13:32	12:27:55	taxi
2008/5/5	12:28:13	12:31:31	walk
2008/5/5	13:33:20	13:46:09	taxi
2008/5/5	13:46:10	13:46:53	walk
2008/5/6	0:13:19	0:23:39	walk
2008/5/6	9:38:34	10:10:32	bike
2008/5/6	10:10:44	10:11:56	walk
2008/5/6	10:11:05	10:33:18	bike
2008/5/6	10:33:20	10:34:40	walk
2008/5/6	23:18:35	23:19:37	walk
2008/5/6	23:19:43	23:34:37	bike
2008/5/6	23:34:43	23:35:51	walk
2008/5/8	0:46:04	1:03:59	bike
2008/5/8	1:04:05	1:08:07	walk
2008/5/8	9:31:05	10:02:45	bike
2008/5/8	17:30:34	17:37:28	walk
2008/5/8	17:37:44	18:07:14	bus
2008/5/8	18:07:15	18:16:14	walk
2008/5/8	18:16:15	18:21:06	bus
2008/5/8	18:21:18	18:25:45	walk
2008/5/8	21:25:09	22:15:49	walk
2008/5/8	22:16:22	23:00:25	railway
2008/5/8	23:00:28	23:06:12	walk
2008/5/9	1:03:48	1:05:34	walk
2008/5/9	1:05:36	1:19:42	bike
2008/5/9	1:19:44	1:23:33	walk
2008/5/9	9:28:35	9:35:08	walk
2008/5/9	9:35:10	10:00:34	bike
2008/5/9	10:00:36	10:02:44	walk
2008/5/9	22:11:28	22:13:39	walk
2008/5/9	22:13:41	22:32:23	bike
2008/5/9	22:32:25	22:33:27	walk
2008/5/10	13:28:59	13:30:13	walk
2008/5/10	13:30:15	13:49:04	bike
2008/5/10	13:49:06	14:00:11	walk
2008/5/11	0:34:04	0:36:04	walk
2008/5/11	0:36:06	0:50:30	bike
2008/5/11	13:26:53	13:50:20	bike
2008/5/11	13:50:22	13:51:56	walk
2008/5/11	23:42:04	23:44:41	walk
2008/5/11	23:44:43	23:59:59	bike
2008/5/12	0:00:00	0:02:35	bike
2008/5/12	9:36:04	10:07:20	bike
2008/5/12	10:07:22	10:08:38	walk
2008/5/12	18:36:23	18:40:45	walk
2008/5/12	18:40:47	19:09:08	bus
2008/5/12	19:09:10	20:52:28	walk
2008/5/12	22:57:54	23:08:23	walk
2008/5/12	22:57:56	23:20:58	taxi
2008/5/12	23:21:00	23:23:33	walk
2008/5/13	2:24:30	2:26:48	walk
2008/5/13	2:26:50	2:42:26	bike
2008/5/13	10:43:29	10:48:22	bike
2008/5/13	11:13:08	11:18:50	bike
2008/5/13	11:18:50	11:22:28	walk
2008/5/13	11:22:28	11:38:09	bike
2008/5/13	11:38:11	11:40:14	walk
2008/5/14	0:29:52	0:32:11	walk
2008/5/14	0:32:12	0:46:52	bike
2008/5/14	0:46:53	0:54:44	walk
2008/5/14	10:11:34	10:14:51	bike
2008/5/14	10:14:51	10:23:11	walk
2008/5/14	10:23:11	10:48:59	bike
2008/5/15	0:00:34	0:16:06	bike
2008/5/15	0:16:06	0:17:20	walk
2008/5/15	9:53:04	9:54:53	bike
2008/5/15	9:54:53	10:00:45	walk
2008/5/15	10:00:45	10:18:19	bike
2008/5/15	10:18:19	10:19:23	walk
2008/5/15	18:29:04	19:08:47	bike
2008/5/15	19:08:47	19:09:39	walk
2008/5/15	20:18:00	20:19:08	walk
2008/5/15	20:18:00	20:45:35	bike
2008/5/15	20:45:35	20:46:21	walk
2008/5/16	0:17:53	0:19:59	walk
2008/5/16	0:19:59	0:33:55	bike
2008/5/16	10:19:00	10:32:22	bike
2008/5/16	10:32:24	10:54:23	walk
2008/5/16	12:07:30	12:12:53	bike
2008/5/16	15:00:46	15:06:36	bike
2008/5/16	15:06:36	15:07:00	walk
2008/5/16	15:07:01	15:23:38	bike
2008/5/16	18:23:35	18:39:26	bike
2008/5/16	18:39:26	18:42:48	walk
2008/5/16	18:42:48	19:18:18	bike
2008/5/16	21:02:22	21:07:31	walk
2008/5/16	21:07:31	21:59:46	bike
2008/5/16	21:59:46	22:02:52	walk
2008/5/16	22:02:50	22:11:34	bike
2008/5/17	9:47:05	9:56:08	bike
2008/5/17	9:56:08	10:10:18	walk
2008/5/17	10:10:18	10:14:19	bike
2008/5/17	10:24:19	10:47:41	bus
2008/5/17	10:47:41	10:55:19	walk
2008/5/17	10:55:19	10:59:56	bus
2008/5/17	10:59:56	12:24:06	walk
2008/5/17	12:24:06	12:40:05	bus
2008/5/17	12:40:05	13:11:50	walk
2008/5/17	13:52:05	14:03:27	walk
2008/5/18	14:03:27	14:05:11	walk
2008/5/18	14:05:11	14:19:54	bus
2008/5/18	19:54:34	20:24:15	walk
2008/5/18	20:24:15	20:37:36	bus
2008/5/18	20:37:36	22:13:54	walk
2008/5/18	22:13:54	22:31:52	bus
2008/5/18	22:31:52	22:34:04	walk
2008/5/18	22:34:04	22:38:32	taxi
2008/5/18	22:38:32	22:54:54	bike
2008/5/19	8:32:52	8:40:56	bike
2008/5/19	8:40:56	8:46:08	walk
2008/5/19	8:46:08	9:05:54	bike
2008/5/19	9:05:54	9:13:31	walk
2008/5/19	22:13:52	22:35:03	bike
2008/5/20	9:23:28	9:50:52	bike
2008/5/20	9:50:52	9:52:07	walk
2008/5/20	23:21:04	23:28:36	bike
2008/5/21	11:16:34	11:36:21	bike
2008/5/21	11:36:22	11:42:57	walk
2008/5/21	17:50:52	18:06:48	bike
2008/5/21	18:06:50	20:54:08	walk
2008/5/21	20:54:10	21:06:07	bike
2008/5/21	22:44:57	23:00:32	bike
2008/5/22	9:35:04	10:17:48	bike
2008/5/22	11:57:12	12:18:34	bike
2008/5/22	14:25:35	14:46:37	bike
2008/5/22	14:46:37	14:47:27	walk
2008/5/22	18:28:23	18:50:14	walk
2008/5/22	18:50:16	19:14:57	bus
2008/5/22	19:14:59	19:29:22	walk
2008/5/22	23:32:46	23:41:37	walk
2008/5/22	23:41:52	23:59:59	taxi
2008/5/23	9:07:28	9:33:59	bus
2008/5/23	9:34:00	9:35:11	walk
2008/5/23	20:32:36	20:36:08	walk
2008/5/23	20:36:10	20:54:22	bike
2008/5/24	10:39:30	11:07:05	bike
2008/5/24	11:29:44	11:42:29	walk
2008/5/24	21:01:05	21:43:33	walk
2008/5/24	21:43:33	22:06:45	bus
2008/5/24	22:06:47	22:33:13	walk
2008/5/25	8:57:34	9:36:28	bike
2008/5/25	21:03:35	21:10:11	walk
2008/5/26	0:17:29	0:22:16	bike
2008/5/26	0:22:18	0:40:47	walk
2008/5/26	8:53:04	9:41:30	bike
2008/5/26	23:22:29	23:40:41	bike
2008/5/28	9:11:34	9:47:22	bike
2008/5/28	17:46:59	18:02:57	bike
2008/5/28	18:02:57	18:03:41	walk
2008/5/28	18:03:41	18:14:03	bike
2008/5/28	22:23:35	22:48:57	bike
2008/5/29	9:20:53	9:47:48	bike
2008/5/29	18:26:05	19:20:22	bike
2008/5/29	23:44:53	23:59:59	bike
2008/5/30	9:26:22	9:43:30	bike
2008/5/30	11:49:12	12:15:36	bus
2008/5/30	12:15:38	13:27:51	walk
2008/5/30	13:27:52	13:52:40	bus
2008/5/30	13:52:42	13:55:04	walk
2008/5/30	14:51:58	15:37:46	car
2008/5/30	15:37:48	20:13:03	walk
2008/5/30	20:13:05	20:48:04	car
2008/5/30	20:48:06	20:53:33	walk
2008/5/31	0:54:05	1:59:50	bike
2008/5/31	10:48:28	11:14:00	bike
2008/5/31	11:14:02	11:34:07	bus
2008/5/31	11:34:09	11:47:06	walk
2008/5/31	13:12:47	13:22:52	walk
2008/5/31	13:22:54	13:52:20	bus
2008/5/31	13:52:20	13:55:20	walk
2008/5/31	13:55:20	14:15:36	car
2008/5/31	18:24:59	18:33:05	car
2008/5/31	18:33:05	18:47:14	walk
2008/5/31	18:47:14	18:50:23	car
2008/5/31	21:13:36	21:27:07	car
2008/5/31	21:27:07	21:40:05	walk
2008/5/31	23:19:24	23:39:42	bike
2008/6/1	13:01:05	13:30:32	bike
2008/6/1	13:30:32	13:56:21	bus
2008/6/1	16:22:14	16:45:51	bus
2008/6/1	18:02:11	18:06:35	walk
2008/6/1	18:06:35	18:56:54	bike
2008/6/1	19:21:20	20:30:42	walk
2008/6/1	20:30:42	21:00:21	bus
