Date	Start Time	End Time	Transportation modes			
2008/8/20	20:45:05	21:00:25	subway
2008/8/20	21:00:25	21:07:25	walk
2008/8/20	21:07:25	21:12:59	bus
2008/8/20	21:13:59	21:24:23	walk
2008/8/20	20:09:17	20:45:05	walk
2008/8/21	17:16:00	17:52:06	bus
2008/8/21	20:22:37	20:23:45	walk
2008/8/21	20:17:37	20:22:37	bike
2008/8/21	19:19:34	20:17:37	walk
2008/8/21	18:25:52	19:19:34	bus
2008/8/21	18:08:54	18:25:52	walk
2008/8/21	18:25:52	19:19:32	bus
2008/8/21	17:52:06	18:01:54	walk
2008/8/21	17:13:06	17:16:00	walk
2008/8/21	17:02:08	17:13:06	bus
2008/8/21	16:33:46	16:49:04	walk
2008/8/21	16:24:16	16:33:46	bus
2008/8/21	16:21:38	16:24:16	walk
2008/8/21	18:01:54	18:08:54	bus
2008/8/22	12:19:28	14:05:50	walk
2008/8/22	12:04:02	12:19:28	subway
2008/8/22	15:13:04	15:16:42	walk
2008/8/22	11:34:36	11:47:04	walk
2008/8/22	11:56:32	12:04:02	walk
2008/8/22	11:47:04	11:56:32	bus
2008/8/22	14:05:50	15:13:04	bus
2008/8/23	11:09:33	11:19:41	walk
2008/8/23	20:54:33	21:05:51	walk
2008/8/23	20:49:33	20:54:33	bus
2008/8/23	20:45:09	20:49:33	walk
2008/8/23	20:32:21	20:45:09	subway
2008/8/23	20:18:59	20:29:21	bike
2008/8/23	10:35:01	11:09:33	bike
2008/8/23	10:25:07	10:35:01	walk
2008/8/23	9:50:33	10:25:07	bus
2008/8/23	9:47:25	9:50:33	walk
2008/8/23	9:40:41	9:47:25	bus
2008/8/23	9:28:29	9:40:41	walk
2008/8/23	20:29:21	20:32:21	walk
2008/8/24	10:02:08	10:09:10	walk
2008/8/24	20:05:59	20:10:01	walk
2008/8/24	20:35:59	20:45:37	walk
2008/8/24	20:30:27	20:35:59	bus
2008/8/24	20:22:45	20:30:27	walk
2008/8/24	20:10:01	20:22:45	subway
2008/8/24	13:00:12	13:06:18	walk
2008/8/24	9:53:36	9:55:06	walk
2008/8/24	10:09:10	10:43:00	bus
2008/8/24	10:43:00	11:56:42	walk
2008/8/24	9:55:06	10:02:08	bus
2008/8/24	19:49:59	20:05:59	bike
2008/8/27	17:32:32	17:43:38	walk
2008/8/28	21:28:57	21:41:45	bus
2008/8/28	21:41:45	21:52:47	walk
2008/8/28	21:16:29	21:28:57	subway
2008/8/28	21:28:57	21:36:05	walk
2008/8/28	21:11:37	21:16:29	walk
2008/8/28	20:51:19	21:11:37	bike
2008/8/28	13:58:51	14:03:57	walk
2008/8/28	13:24:05	13:25:03	walk
2008/8/28	11:28:36	11:33:52	walk
2008/8/28	10:28:16	11:28:36	bus
2008/8/28	10:22:25	10:28:16	walk
2008/8/28	10:16:14	10:22:25	bus
2008/8/28	10:14:06	10:16:14	walk
2008/8/28	13:25:03	13:58:51	bus
2008/8/30	11:01:49	11:15:43	bike
2008/8/30	9:47:05	9:48:53	walk
2008/8/30	11:15:43	11:33:03	walk
2008/8/30	10:53:47	11:01:49	walk
2008/8/30	10:07:31	10:53:47	bus
2008/8/30	9:54:51	10:07:31	walk
2008/8/30	9:48:53	9:54:51	bus
2008/8/30	20:02:06	20:10:30	bike
2008/8/31	18:23:30	18:41:18	walk
2008/8/31	17:06:54	17:23:16	walk
2008/8/31	17:23:16	17:30:00	bus
2008/8/31	18:00:40	18:06:42	bus
2008/8/31	17:30:00	18:00:40	walk
2008/8/31	18:06:42	18:21:00	walk
2008/9/4	21:52:59	22:03:57	walk
2008/9/4	21:47:23	21:52:59	bus
2008/9/4	21:10:45	21:28:15	walk
2008/9/4	21:41:01	21:47:23	walk
2008/9/4	21:28:15	21:41:01	subway
2008/9/4	17:14:39	18:02:59	bus
2008/9/4	17:07:51	17:14:39	walk
2008/9/4	16:58:05	17:00:31	walk
2008/9/4	18:02:59	18:15:37	walk
2008/9/4	17:00:31	17:07:51	bus
2008/9/5	9:41:03	9:54:29	subway
2008/9/5	20:51:17	21:01:05	walk
2008/9/5	20:45:11	20:51:17	bus
2008/9/5	20:35:19	20:45:11	walk
2008/9/5	20:23:05	20:35:19	subway
2008/9/5	9:54:29	10:08:41	walk
2008/9/5	9:31:55	9:41:03	walk
2008/9/5	9:21:17	9:31:55	bus
2008/9/5	9:10:07	9:21:17	walk
2008/9/5	17:59:10	20:23:05	bike
2008/9/6	19:43:59	20:26:31	bike
2008/9/6	13:38:31	12:33:35	walk
2008/9/6	20:42:43	20:52:05	bus
2008/9/6	20:52:05	23:28:29	walk
2008/9/6	12:51:29	12:52:59	walk
2008/9/6	12:36:43	12:51:29	bus
2008/9/6	12:33:35	12:36:43	walk
2008/9/6	12:52:59	13:38:31	bus
2008/9/6	20:26:31	20:42:43	subway
2008/9/7	15:04:24	16:21:34	walk
2008/9/7	17:38:25	18:18:21	bus
2008/9/8	13:07:45	13:22:37	subway
2008/9/8	20:23:05	21:55:37	walk
2008/9/8	20:17:41	20:23:05	bus
2008/9/8	20:15:29	20:17:41	walk
2008/9/8	20:02:23	20:15:29	subway
2008/9/8	19:24:42	20:02:23	bike
2008/9/8	18:44:39	18:52:55	walk
2008/9/8	13:22:37	13:34:35	walk
2008/9/8	12:57:23	13:07:45	walk
2008/9/8	12:45:21	12:57:23	bus
2008/9/8	12:39:53	12:45:21	walk
2008/9/8	18:34:28	18:44:39	bike
2008/9/9	9:19:28	9:29:02	bus
2008/9/9	9:50:30	10:01:32	walk
2008/9/9	9:34:54	9:50:30	subway
2008/9/9	9:29:02	9:34:54	walk
2008/9/10	18:28:35	18:38:35	walk
2008/9/10	20:51:01	21:05:55	walk
2008/9/12	21:28:06	21:34:40	bus
2008/9/12	21:34:40	21:45:54	walk
2008/9/12	10:06:51	10:17:43	walk
2008/9/12	9:53:01	10:06:51	subway
2008/9/12	9:44:39	9:53:01	walk
2008/9/12	9:33:57	9:44:39	bus
2008/9/12	9:18:37	9:33:57	walk
2008/9/13	14:17:32	14:23:56	walk
2008/9/13	20:13:19	20:18:41	bus
2008/9/13	20:03:04	20:13:19	walk
2008/9/13	19:51:04	20:03:04	subway
2008/9/13	19:41:35	19:51:04	walk
2008/9/13	19:33:19	19:41:35	bike
2008/9/13	20:18:41	20:34:47	walk
2008/9/13	14:10:32	14:17:32	bike
2008/9/13	13:42:05	14:10:32	walk
2008/9/13	12:09:22	12:22:20	walk
2008/9/13	11:55:48	12:09:22	subway
2008/9/13	11:45:46	11:55:48	walk
2008/9/13	11:33:14	11:45:46	bus
2008/9/13	11:22:24	11:33:14	walk
2008/9/13	19:14:37	19:19:01	bike
2008/9/13	19:19:01	19:33:19	walk
2008/9/14	16:15:04	16:22:08	walk
2008/9/14	20:44:32	20:57:08	subway
2008/9/14	20:28:28	20:44:32	walk
2008/9/14	20:17:38	20:28:28	bike
2008/9/14	20:13:36	20:17:38	walk
2008/9/14	18:03:27	18:08:55	walk
2008/9/14	16:40:46	16:59:44	walk
2008/9/14	16:08:24	16:15:04	bus
2008/9/14	17:53:55	18:03:27	bike
2008/9/14	16:22:08	16:40:46	subway
2008/9/15	12:11:17	13:02:12	walk
2008/9/15	14:54:19	15:10:03	bus
2008/9/15	17:42:00	18:18:58	bus
2008/9/15	19:34:25	20:06:36	bus
2008/9/15	20:06:36	20:18:48	subway
2008/9/15	11:11:24	11:40:38	walk
2008/10/1	13:07:12	13:14:02	bus
2008/10/1	10:02:53	10:18:51	bike
2008/10/1	10:18:51	11:03:55	bus
2008/10/1	11:03:55	11:16:31	walk
2008/10/1	11:22:40	13:07:12	walk
2008/10/1	13:14:02	13:22:58	walk
2008/10/1	13:22:58	14:11:00	bus
2008/10/1	14:11:00	14:17:50	walk
2008/10/1	11:16:31	11:22:40	bus
2008/10/2	18:54:28	19:04:22	bus
2008/10/2	18:29:46	18:36:48	walk
2008/10/2	19:04:22	19:58:48	walk
2008/10/2	18:48:58	18:54:28	walk
2008/10/2	18:36:48	18:48:58	subway
2008/10/2	9:42:28	9:54:03	walk
2008/10/2	9:54:03	10:06:39	bus
2008/10/2	10:14:45	10:27:59	subway
2008/10/2	10:27:59	10:33:27	walk
2008/10/2	10:33:27	10:42:51	bike
2008/10/2	12:02:52	12:11:02	bike
2008/10/2	18:20:06	18:29:46	bike
2008/10/2	15:51:55	16:01:05	bike
2008/10/2	10:06:39	10:14:45	walk
2008/10/3	10:21:04	10:29:45	walk
2008/10/3	11:04:23	11:29:37	walk
2008/10/3	10:29:45	10:41:01	bus
2008/10/3	10:47:57	11:04:23	subway
2008/10/3	10:41:01	10:47:57	walk
2008/10/12	18:54:15	19:09:21	walk
2008/10/12	19:22:05	19:48:27	walk
2008/10/12	19:48:27	19:56:33	bus
2008/10/12	19:09:21	19:22:05	subway
2008/10/12	19:56:33	20:03:31	walk
2008/10/12	19:22:05	19:48:29	walk
2008/10/12	16:21:18	16:45:30	bike
2008/10/12	16:19:44	18:54:15	bike
2008/10/12	19:56:33	20:03:31	walk
2008/10/12	19:48:29	19:56:33	bus
2008/10/12	19:09:21	19:22:05	subway
2008/10/12	16:14:06	16:21:18	walk
2008/10/12	16:45:30	19:09:21	walk
2008/10/14	9:36:29	9:46:23	walk
