Date	Start Time	End Time	Transportation modes
2008/09/14	21:03:08	21:13:13	bike
2008/09/15	10:37:31	14:08:51	bike
2008/09/15	18:17:05	18:29:55	bike
2008/09/15	20:30:30	20:50:38	bike
2008/09/16	11:13:38	11:17:03	bike
2008/09/16	11:17:08	11:25:03	walk
2008/09/16	11:25:08	11:31:43	bike
2008/09/16	12:15:50	12:22:25	bike
2008/09/16	12:47:50	12:49:35	bike
2008/09/16	12:51:50	12:53:30	bike
2008/09/16	14:45:10	14:50:05	bike
2008/09/16	15:06:30	15:26:15	bike
2008/09/16	15:33:45	15:36:20	walk
2008/09/16	15:56:15	16:21:30	bus
2008/09/16	16:21:35	16:44:49	walk
2008/09/16	16:56:19	17:32:24	walk
2008/09/18	12:53:34	13:00:35	bike
2008/09/18	13:22:05	13:33:30	bike
2008/09/18	17:27:26	17:34:01	bike
2008/09/18	19:42:43	20:26:43	bike
2008/09/18	20:49:08	20:54:48	walk
2008/09/20	16:15:47	16:23:23	walk
2008/09/20	16:26:43	17:28:43	bus
2008/09/20	17:28:45	17:55:05	walk
2008/09/20	21:03:29	21:17:59	car
2008/09/20	21:17:59	21:26:11	walk
2008/09/29	16:49:30	17:23:25	bike
2008/09/29	18:54:05	19:13:57	bus
2008/09/29	21:10:53	21:33:01	bus
2008/09/29	21:33:01	21:36:35	walk
2008/09/29	22:21:53	22:32:09	bike
2008/09/30	11:23:35	11:30:47	walk
2008/09/30	11:30:47	11:35:37	bus
2008/09/30	11:35:37	11:58:42	walk
2008/09/30	11:58:42	12:43:06	bus
2008/09/30	15:28:00	16:57:06	bus
2008/09/30	19:37:05	19:53:39	bike
2008/09/30	20:10:30	20:24:34	bike
2008/09/30	20:58:50	21:31:04	bike
2008/10/02	11:47:23	12:00:05	walk
2008/10/02	12:00:05	13:00:33	bus
2008/10/02	15:17:24	15:28:22	walk
2008/10/02	17:22:13	17:48:55	walk
2008/10/02	21:18:53	21:27:35	walk
2008/10/02	22:17:49	22:35:29	walk
2008/10/03	7:00:28	8:23:01	bus
2008/10/03	8:23:01	8:51:37	walk
2008/10/03	8:51:37	9:48:59	bus
2008/10/03	9:48:59	9:56:07	walk
2008/10/03	16:21:36	16:50:16	bike
2008/10/03	17:56:55	19:07:35	bike
2008/10/03	21:27:35	21:45:01	bike
2008/10/04	11:27:00	11:38:06	bike
2008/10/04	12:46:47	13:00:53	bike
2008/10/04	19:50:45	20:15:05	walk
2008/10/04	20:15:05	20:36:51	bus
2008/10/04	20:36:51	20:52:05	walk
2008/10/04	20:52:05	21:08:59	bus
2008/10/04	21:08:59	21:24:43	walk
2008/10/04	22:04:40	22:27:10	bus
2008/10/04	22:27:10	10:45:16	walk
2008/10/05	16:34:05	17:29:42	bike
2008/10/05	18:27:32	19:04:52	bike
2008/10/05	21:56:00	22:11:50	bike
2008/10/06	18:44:04	18:57:21	bike
2008/10/06	21:07:05	21:29:55	bike
2008/10/07	11:49:06	12:00:10	bike
2008/10/07	14:15:27	14:47:01	bike
2008/10/07	16:01:12	16:21:33	bike
2008/10/07	18:07:12	18:18:05	bike
2008/10/07	18:56:33	19:26:20	bike
2008/10/07	21:14:00	21:29:32	bike
2008/10/08	18:06:30	18:17:58	bike
2008/10/08	21:22:37	21:44:25	bike
2008/10/09	16:21:59	16:31:17	bike
2008/10/09	16:56:23	17:17:49	bike
2008/10/09	19:08:32	19:21:40	bike
2008/10/10	12:57:41	13:21:41	bike
2008/10/10	18:52:39	19:14:45	bike
2008/10/10	19:22:05	19:31:35	bike
2008/10/10	21:37:44	22:13:50	bike
2008/10/11	16:02:06	16:21:18	walk
2008/10/11	16:21:18	17:26:52	bus
2008/10/11	21:07:36	21:17:06	walk
2008/10/11	21:17:06	21:58:08	bus
2008/10/12	12:29:38	12:32:56	bus
2008/10/12	12:32:56	12:40:46	walk
2008/10/12	16:52:36	17:42:03	bike
2008/10/12	18:50:54	19:06:08	bike
2008/10/12	19:20:01	19:30:55	bike
2008/10/12	21:11:35	21:23:09	bike
2008/10/13	18:12:35	18:27:27	bike
2008/10/13	18:50:31	19:06:11	bike
2008/10/14	11:38:54	11:49:24	bike
2008/10/14	13:24:04	13:51:34	bike
2008/10/14	17:44:54	18:04:28	bike
2008/10/15	20:28:31	20:53:03	bike
2008/10/16	11:53:51	12:14:31	bike
2008/10/16	12:37:33	12:44:13	bike
2008/10/16	13:11:01	13:20:03	bike
2008/10/16	16:40:21	16:55:41	bike
2008/10/16	18:40:13	18:56:35	bike
2008/10/16	20:18:38	20:33:02	bike
2008/10/16	21:39:50	21:56:26	bike
2008/10/17	9:10:01	9:19:47	bike
2008/10/17	9:23:41	9:39:09	bike
2008/10/17	11:02:44	11:15:16	bike
2008/10/17	18:44:22	18:52:24	bike
2008/10/17	19:03:54	19:22:28	bike
2008/10/17	20:00:38	22:10:40	bike
2008/10/18	17:29:36	17:45:06	bike
2008/10/19	13:16:53	13:26:45	bike
2008/10/19	14:07:49	14:19:19	bike
2008/10/19	16:31:56	16:43:50	bike
2008/10/19	19:47:35	20:38:45	bike
2008/10/19	20:58:41	21:17:43	bike
2008/10/20	11:02:40	11:49:44	bike
2008/10/20	13:46:31	13:54:47	walk
2008/10/20	13:54:47	14:23:15	bus
2008/10/20	15:14:08	15:36:50	bus
2008/10/20	15:36:50	15:58:00	walk
2008/10/20	16:39:04	16:51:26	walk
2008/10/20	16:51:26	16:56:32	bus
2008/10/20	16:56:32	17:07:58	walk
2008/10/21	8:41:14	9:08:46	walk
2008/10/21	9:08:46	10:30:46	bus
2008/10/21	10:30:46	10:39:10	walk
2008/10/21	10:48:58	10:57:28	walk
2008/10/21	10:57:28	11:26:56	bus
2008/10/21	11:26:56	11:30:14	walk
2008/10/21	11:30:14	11:42:20	bus
2008/10/22	13:50:06	14:14:42	walk
2008/10/22	14:14:42	15:00:20	bus
2008/10/22	15:00:20	15:28:46	walk
2008/10/22	15:28:46	15:56:42	bus
2008/10/22	15:56:42	16:15:12	walk
2008/10/22	16:15:12	16:25:34	bus
2008/10/22	16:35:42	16:39:58	bike
2008/10/22	17:53:00	18:07:52	bike
2008/10/23	16:38:08	16:56:08	bike
2008/10/23	21:22:08	21:32:50	bike
2008/10/23	21:39:14	21:46:48	bike
2008/10/23	21:58:14	22:08:42	bike
2008/10/24	8:27:48	8:43:34	bike
2008/10/24	12:45:05	12:59:35	bike
2008/10/24	16:33:59	16:47:01	bike
2008/10/24	21:14:20	21:29:24	walk
2008/10/24	21:29:24	21:33:44	bus
2008/10/24	22:06:46	22:15:14	bus
2008/10/25	11:09:06	11:26:16	bike
2008/10/25	11:35:46	11:49:44	bike
2008/10/25	18:09:15	18:34:05	bus
2008/10/25	20:30:39	20:44:03	bus
2008/10/25	22:15:09	22:39:47	bus
2008/10/26	16:28:06	16:32:30	bike
2008/10/26	16:43:56	17:10:38	bike
2008/10/26	20:45:57	20:51:55	bus
2008/10/26	20:51:55	21:08:25	walk
2008/10/28	7:54:05	8:05:45	bike
2008/10/28	14:41:05	15:01:47	bike
2008/10/28	16:22:27	16:34:35	bike
2008/10/28	19:45:01	20:01:03	bike
2008/10/29	8:03:57	8:26:07	bike
2008/10/29	10:16:11	10:38:14	bike
2008/10/29	10:51:02	11:00:26	bike
2008/10/29	13:05:05	13:16:15	bike
2008/10/29	13:40:55	13:56:27	bike
2008/10/29	18:31:37	19:34:29	bike
2008/10/29	22:15:25	22:49:09	bike
2008/10/30	7:49:09	8:03:59	bike
2008/10/30	10:04:25	10:17:37	bike
2008/10/30	10:55:26	11:21:40	bike
2008/10/30	15:42:43	15:57:47	bike
2008/10/30	17:04:36	17:19:18	bike
2008/10/30	19:40:06	19:47:38	bike
2008/10/30	21:10:15	22:00:27	bike
2008/10/31	8:22:29	8:23:39	bike
2008/10/31	14:07:10	14:59:08	bike
2008/10/31	19:45:46	20:06:00	bus
2008/10/31	21:04:30	21:46:00	bus
2008/11/01	9:51:57	11:19:37	bus
2008/11/01	11:19:37	15:36:51	walk
2008/11/01	21:05:06	21:21:36	walk
2008/11/01	21:21:36	22:24:04	bus
2008/11/01	22:24:04	22:50:04	walk
2008/11/02	11:35:07	11:47:45	bike
2008/11/02	11:53:07	13:35:59	bike
2008/11/02	18:23:23	19:04:03	bike
2008/11/02	20:54:21	21:20:29	bike
2008/11/03	8:56:06	9:22:59	car
2008/11/03	14:31:29	15:04:51	walk
2008/11/03	18:29:05	18:52:11	walk
2008/11/04	18:14:54	18:39:00	walk
2008/11/05	9:23:03	11:36:21	car
2008/11/05	13:48:41	14:04:13	bike
2008/11/05	16:52:01	17:03:11	bike
2008/11/05	17:25:39	17:32:49	bike
2008/11/05	19:54:43	20:10:49	bike
2008/11/06	11:05:47	11:21:01	bike
2008/11/06	16:31:08	16:41:52	bike
2008/11/06	17:36:54	17:56:58	bike
2008/11/06	20:47:45	21:10:21	bike
2008/11/07	13:28:43	13:43:31	bike
2008/11/07	14:39:48	15:04:42	bike
2008/11/07	17:18:41	17:54:03	bike
2008/11/08	14:48:39	15:11:25	bike
2008/11/08	16:43:41	17:27:19	bike
2008/11/08	20:23:05	20:29:09	bus
2008/11/08	20:29:09	21:17:25	bike
2008/11/09	22:35:07	22:48:39	bike
2008/11/10	7:49:35	8:02:17	bike
2008/11/10	16:43:37	16:54:45	bike
2008/11/10	18:35:17	18:52:07	bike
2008/11/10	21:53:29	22:21:41	bike
2008/11/11	8:09:46	8:18:06	bike
2008/11/11	14:06:31	14:29:53	bike
2008/11/11	15:33:59	15:55:39	bike
2008/11/11	22:10:31	22:31:23	bike
2008/11/12	7:51:43	8:05:41	bike
2008/11/12	16:37:27	16:52:15	bike
2008/11/12	18:19:18	18:34:18	bike
2008/11/12	21:37:02	21:50:02	bike
2008/11/13	7:58:42	8:13:56	bike
2008/11/14	7:41:43	7:48:23	bike
2008/11/14	7:58:11	8:57:59	car
2008/11/14	16:14:36	16:58:46	car
2008/11/14	22:39:30	23:09:40	bike
2008/11/15	10:34:08	10:51:42	bike
2008/11/15	13:16:10	13:37:34	car
2008/11/15	15:31:02	15:56:42	car
2008/11/15	19:32:39	19:41:27	bus
2008/11/16	9:50:06	10:04:16	bus
2008/11/16	10:04:16	10:15:04	walk
2008/11/16	11:50:55	12:10:33	bus
2008/11/16	20:45:49	21:10:15	bike
2008/11/24	7:31:36	7:48:44	bike
2008/11/24	14:23:54	14:34:04	bike
2008/11/24	16:04:14	16:36:49	bike
2008/11/25	12:23:58	12:36:58	bike
2008/11/25	18:05:35	18:16:19	bike
2008/11/26	19:59:50	20:21:08	walk
2008/11/26	22:19:15	22:41:20	bike
2008/11/27	7:57:47	8:01:21	bike
2008/11/27	21:38:04	21:51:12	bike
2008/11/28	7:55:29	8:03:13	bike
2008/11/28	17:12:53	20:59:01	bike
2008/11/29	15:08:14	15:49:16	bike
2008/11/29	18:36:33	18:47:11	bike
2008/11/30	10:42:20	10:58:20	walk
2008/11/30	10:58:20	11:40:54	bus
2008/11/30	11:40:54	11:48:34	walk
2008/11/30	15:26:07	16:11:49	bus
2008/11/30	16:11:49	16:47:53	walk
2008/11/30	16:47:53	16:50:47	bus
2008/11/30	16:50:47	17:23:51	walk
2008/12/01	7:50:20	8:12:10	bike
2008/12/01	15:50:05	16:01:07	bike
2008/12/01	17:44:19	17:55:55	bike
2008/12/02	7:47:19	8:02:57	bike
2008/12/02	16:56:39	17:02:59	bike
2008/12/02	17:35:39	17:45:37	bike
2008/12/02	21:31:39	21:46:11	bike
2008/12/03	7:51:29	8:02:05	bike
2008/12/03	17:12:40	17:24:58	bike
2008/12/03	18:39:20	18:53:33	bike
2008/12/03	21:58:54	22:20:40	bike
2008/12/04	16:52:34	17:36:16	bike
2008/12/05	14:01:21	14:19:17	bike
2008/12/05	16:01:53	16:23:15	bike
2008/12/05	21:40:08	22:07:08	bike
2008/12/06	16:20:11	16:52:23	bike
2008/12/07	9:44:27	9:49:43	bike
2008/12/07	9:49:43	10:14:03	bike
2008/12/07	11:45:31	12:28:22	bike
2008/12/07	21:46:47	22:10:41	bike
2008/12/08	7:46:49	8:01:01	bike
2008/12/09	8:35:11	8:57:35	bike
2008/12/09	10:35:38	10:48:48	bike
2008/12/09	17:29:45	19:51:34	bike
2008/12/10	7:51:36	8:11:44	bike
2008/12/11	16:38:59	16:52:25	bike
2008/12/11	18:17:27	18:34:45	bike
2008/12/11	21:45:12	22:12:28	bike
2008/12/12	14:39:36	14:51:50	bike
2008/12/13	8:36:14	8:46:00	bike
2008/12/13	8:46:14	9:06:44	walk
2008/12/13	9:06:44	10:16:00	bus
2008/12/13	10:16:00	10:29:28	walk
2008/12/13	14:47:09	16:03:51	bus
2008/12/13	16:03:51	16:17:07	walk
2008/12/13	18:39:27	18:52:25	bike
2008/12/13	20:57:25	21:20:55	bike
2008/12/14	16:06:29	16:25:15	bus
2008/12/14	21:52:29	22:02:51	bus
2008/12/15	7:56:19	9:03:55	bike
2008/12/15	10:01:30	10:12:10	bike
2008/12/15	16:19:23	16:31:31	bike
2008/12/15	18:01:31	18:13:14	bike
2008/12/15	22:16:52	22:51:06	bike
2008/12/16	7:56:40	8:09:56	bike
2009/01/01	10:45:52	11:11:24	bike
2009/01/01	13:49:36	14:16:46	bike
2009/01/02	9:55:35	11:14:38	bike
2009/01/02	13:19:26	14:30:46	bike
2009/01/02	14:30:46	14:51:52	walk
2009/01/02	19:12:35	20:56:36	bike
2009/01/03	19:36:01	20:09:19	bike
2009/01/05	16:53:12	17:17:00	bike
2009/01/05	20:39:25	20:56:35	bike
2009/01/07	16:49:04	16:57:22	bike
2009/01/08	7:59:31	11:30:15	bike
2009/01/08	17:04:08	17:24:32	bike
2009/01/09	7:51:09	8:19:57	bike
2009/01/09	13:56:05	16:50:34	bike
2009/01/09	16:50:34	17:11:24	bike
2009/01/09	18:21:06	18:41:16	bike
2009/01/09	22:03:30	22:27:06	bike
2009/01/11	13:52:15	14:19:07	bike
2009/01/12	16:47:10	17:29:04	bike
2009/01/13	7:44:24	8:09:16	bike
2009/01/13	14:50:29	15:21:03	bike
2009/01/13	16:22:12	16:36:40	bike
2009/01/13	18:07:31	19:52:47	bike
2009/01/14	16:35:59	17:21:46	bike
2009/01/14	18:31:51	18:55:35	bike
2009/01/15	10:10:00	11:18:16	bus
2009/01/16	9:34:53	10:51:13	bus
2009/01/16	15:35:58	16:03:18	bike
2009/01/16	17:56:01	18:04:11	bike
2009/01/16	20:55:30	21:36:31	bike
2009/01/16	21:36:31	21:46:00	bus
2009/01/18	10:20:57	10:36:53	bike
2009/01/18	15:48:29	16:01:59	bike
2009/01/18	17:25:32	17:40:38	bike
2009/01/18	22:15:01	22:28:41	bike
2009/01/19	13:09:37	13:30:31	bike
2009/02/16	10:52:11	11:22:45	bike
2009/02/16	16:31:25	16:47:39	bike
2009/02/16	18:24:55	18:45:55	bike
2009/02/17	11:23:34	11:39:54	bike
2009/02/17	15:33:38	15:51:34	bike
2009/02/17	16:51:33	17:05:32	bike
2009/02/17	17:43:20	17:55:18	bike
2009/02/17	18:21:34	18:38:44	bike
2009/02/18	7:45:54	7:56:28	bus
2009/02/18	7:56:28	8:12:29	walk
2009/02/18	8:12:29	8:52:55	taxi
2009/02/18	14:45:50	15:55:07	taxi
2009/02/18	16:05:14	16:18:02	bike
2009/02/18	17:31:40	17:46:46	bus
2009/02/19	16:41:49	16:59:05	bus
2009/02/20	7:46:17	8:04:39	bike
2009/02/20	14:37:05	15:10:53	bike
2009/02/20	17:32:26	17:46:05	bike
2009/02/20	18:53:12	19:12:21	bike
2009/02/21	7:23:11	7:37:45	walk
2009/02/21	7:37:45	7:39:33	train
2009/02/21	8:09:17	8:18:30	walk
2009/02/21	8:45:21	8:57:47	walk
2009/02/21	8:57:47	9:27:57	bus
2009/02/21	17:26:30	17:35:40	bike
2009/02/21	18:32:41	19:17:59	walk
2009/02/22	12:09:34	12:28:34	bike
2009/02/22	16:06:12	16:29:18	bus
2009/02/22	17:57:41	18:29:03	bus
2009/02/23	7:54:33	8:19:25	bike
2009/02/23	17:58:28	18:27:53	walk
2009/02/24	15:11:54	15:28:36	bike
2009/02/24	16:35:32	17:01:38	bike
2009/02/24	18:27:42	18:47:44	bike
2009/02/25	7:41:11	8:08:19	bike
2009/02/25	16:59:00	17:11:10	bike
2009/02/25	17:39:58	18:06:24	bike
2009/02/25	22:10:47	22:34:13	bike
2009/02/26	7:38:24	8:05:36	bike
2009/02/26	22:06:02	22:22:55	bike
2009/02/27	7:52:28	8:17:06	bike
2009/02/27	14:29:04	14:39:04	bike
2009/02/27	16:58:24	17:11:06	bike
2009/03/01	11:03:39	11:17:01	bike
2009/03/01	12:20:46	12:35:56	bike
2009/03/01	15:23:14	15:38:30	bike
2009/03/01	20:34:25	20:48:31	walk
2009/03/09	7:51:46	8:26:12	bike
2009/03/09	16:18:14	16:34:10	bike
2009/03/09	17:48:49	18:13:03	bike
